2026-04-15 10:14:33.608 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - → SwaggerWebMvcConfigurer.addCorsMappings(org.springframework.web.servlet.config.annotation.CorsRegistry@5d152bcd)
2026-04-15 10:14:33.608 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - ← SwaggerWebMvcConfigurer.addCorsMappings returned null [0ms]
2026-04-15 10:14:33.617 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - → SwaggerWebMvcConfigurer.getValidator()
2026-04-15 10:14:33.617 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - ← SwaggerWebMvcConfigurer.getValidator returned null [0ms]
2026-04-15 10:14:33.618 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - → SwaggerWebMvcConfigurer.configureContentNegotiation(org.springframework.web.servlet.config.annotation.ContentNegotiationConfigurer@3332c7a5)
2026-04-15 10:14:33.618 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - ← SwaggerWebMvcConfigurer.configureContentNegotiation returned null [0ms]
2026-04-15 10:14:33.638 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - → SwaggerWebMvcConfigurer.addViewControllers(org.springframework.web.servlet.config.annotation.ViewControllerRegistry@58f2466c)
2026-04-15 10:14:33.638 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - ← SwaggerWebMvcConfigurer.addViewControllers returned null [0ms]
2026-04-15 10:14:33.658 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - → SwaggerWebMvcConfigurer.configureMessageConverters([org.springframework.http.converter.ByteArrayHttpMessageConverter@7bbcf6f0, org.springframework.http.converter.StringHttpMessageConverter@9b47400, org.springframework.http.converter.StringHttpMessageC...(+613 chars))
2026-04-15 10:14:33.658 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - ← SwaggerWebMvcConfigurer.configureMessageConverters returned null [0ms]
2026-04-15 10:14:33.658 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - → SwaggerWebMvcConfigurer.extendMessageConverters([org.springframework.http.converter.ByteArrayHttpMessageConverter@7bbcf6f0, org.springframework.http.converter.StringHttpMessageConverter@9b47400, org.springframework.http.converter.StringHttpMessageC...(+613 chars))
2026-04-15 10:14:33.658 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - ← SwaggerWebMvcConfigurer.extendMessageConverters returned null [0ms]
2026-04-15 10:14:33.661 [main] INFO  z.d.api.audit.sink.LogFileAuditSink - → SwaggerWebMvcConfigurer.addResourceHandlers(org.springframework.web.servlet.config.annotation.ResourceHandlerRegistry@40bf4386)
